Food_ID,Food name and Description,Alternate/Common name(s),Water (g),"Energy, calculated (kcal)",Protein (g),Total Fat (g),"Carbohydrate, total (g)","Ash, total (g)",Image Link,Category
A012,"Rice, milled, glutinous","Bigas, malagkit",11.7,355.0,6.9,0.8,80.1,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0121.png,"GRAINS, STARCHES, OR FLOURS"
A013,"Rice, milled, glutinous, milled w/ water","Bigas, malagkit, galapong",47.4,210.0,4.4,0.1,47.9,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0131.png,"GRAINS, STARCHES, OR FLOURS"
A014,"Rice, undermilled",Brown rice/Pinawa,11.6,363.0,8.1,2.8,76.3,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A014.png,"GRAINS, STARCHES, OR FLOURS"
A015,"Rice, undermilled, glutinous, purple","Bigas, malagkit, pirurutong",11.5,358.0,8.7,2.0,76.3,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A015_copy4.png,"GRAINS, STARCHES, OR FLOURS"
A016,"Rice, undermilled, glutinous, purple, boiled","Bigas, malagkit, pirurutong, sinaing",68.8,124.0,2.4,0.4,27.8,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0161.png,"GRAINS, STARCHES, OR FLOURS"
A017,"Rice, undermilled, red","Bigas, mapula",10.4,358.0,4.5,0.9,80.0,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0171.png,"GRAINS, STARCHES, OR FLOURS"
A019,"Rice, well-milled","Bigas, maputi",11.1,356.0,7.4,0.5,80.4,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0191.png,"GRAINS, STARCHES, OR FLOURS"
A020,"Rice, well-milled, boiled","Bigas, maputi, sinaing",67.6,129.0,2.1,0.2,29.7,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0201.png,"GRAINS, STARCHES, OR FLOURS"
A021,"Rice, well-milled, fried","Bigas, maputi, sinangag",57.4,187.0,2.6,4.0,35.2,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0211.png,"GRAINS, STARCHES, OR FLOURS"
A022,Rice-corn mixture (1:1),Bigas-mais pinaghalo (1:1),9.2,366.0,7.5,1.0,81.8,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A022copy.png,"GRAINS, STARCHES, OR FLOURS"
A023,"Rice-corn mixture (1:1), boiled","Bigas-mais pinaghalo (1:1), sinaing",76.4,96.0,2.2,0.3,21.0,0.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A023_Rice-corn_mix_boiled.png,"GRAINS, STARCHES, OR FLOURS"
A024,Sorghum,"Batad/Batag, butil",8.1,382.0,9.5,3.9,77.1,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0241.png,"GRAINS, STARCHES, OR FLOURS"
A025,"Sorghum, boiled","Batad/Batag, butil, nilaga",63.2,150.0,3.5,1.0,31.7,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0251.png,"GRAINS, STARCHES, OR FLOURS"
A026,"Ampaw, pinipig",,3.3,392.0,3.1,1.6,91.3,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0261.png,"GRAINS, STARCHES, OR FLOURS"
A027,"Ampaw, rice",,5.6,385.0,4.5,2.1,87.1,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0271.png,"GRAINS, STARCHES, OR FLOURS"
A028,Bicho-bicho,Bitsu-bitso,22.0,376.0,7.4,14.0,55.2,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A028.png,"GRAINS, STARCHES, OR FLOURS"
A029,"Biscuit, cocohoney",,3.9,453.0,7.0,14.7,73.2,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A029_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A030,"Bread, w/ margarine & sugar filling",Spanish bread,21.6,371.0,9.3,12.4,55.5,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A030_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A031,"Bread, brown",,21.7,313.0,12.1,0.9,64.1,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize24.jpg,"GRAINS, STARCHES, OR FLOURS"
A032,"Bread, cheese roll",,29.4,342.0,10.1,13.5,45.1,1.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize24.jpg,"GRAINS, STARCHES, OR FLOURS"
A033,"Bread, cinnamon roll",,18.7,387.0,9.1,13.1,58.1,1.0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0331.png,"GRAINS, STARCHES, OR FLOURS"
A034,"Bread, hotdog roll",,24.0,320.0,10.2,3.8,61.3,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0341.png,"GRAINS, STARCHES, OR FLOURS"
A035,"Bread, toasted, w/ margarine-sugar topping",Biscocho,5.0,412.0,9.3,7.4,77.1,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A035.png,"GRAINS, STARCHES, OR FLOURS"
A036,"Bread, mung bean loaf",Munggo bread,20.9,352.0,13.5,8.3,55.8,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0361.png,"GRAINS, STARCHES, OR FLOURS"
A037,"Bread, pan de bonete",,22.1,329.0,12.3,4.4,60.0,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize25.jpg,"GRAINS, STARCHES, OR FLOURS"
A038,"Bread, pan de coco",,21.6,349.0,9.2,7.6,60.9,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0381.png,"GRAINS, STARCHES, OR FLOURS"
A039,"Bread, pan de leche",,21.9,323.0,10.5,3.0,63.5,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A039.png,"GRAINS, STARCHES, OR FLOURS"
A040,"Bread, pan de limon",,23.8,321.0,10.6,3.9,60.9,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A040.png,"GRAINS, STARCHES, OR FLOURS"
A041,"Bread, pan de monay",,23.4,318.0,10.6,3.4,61.3,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0411.png,"GRAINS, STARCHES, OR FLOURS"
A042,"Bread, pan de sal",,21.6,330.0,10.1,4.2,62.9,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0421.png,"GRAINS, STARCHES, OR FLOURS"
A043,"Bread, raisin",,30.3,295.0,9.4,4.6,53.9,1.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0431.png,"GRAINS, STARCHES, OR FLOURS"
A044,"Bread, rye",,25.6,304.0,12.1,3.5,56.0,2.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A044.png,"GRAINS, STARCHES, OR FLOURS"
A045,"Bread, sweet roll",Ensaymada,24.3,326.0,8.6,5.0,61.6,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A045.png,"GRAINS, STARCHES, OR FLOURS"
A046,"Bread, sweet roll w/ mung bean filling","Ensaymada, may munggo",24.9,307.0,9.6,2.1,62.5,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A046.png,"GRAINS, STARCHES, OR FLOURS"
A047,"Bread, toasted","Toast/Tinapay, tostado",17.9,349.0,11.2,5.3,64.2,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/a047.jpg,"GRAINS, STARCHES, OR FLOURS"
A048,"Bread, white, loaf",American loaf/Pan Amerikano,23.2,329.0,9.7,5.1,61.1,0.9,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A048_bread,_white,_loaf1.png","GRAINS, STARCHES, OR FLOURS"
A049,Bunuelos,,18.9,497.0,9.5,34.8,36.4,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A049.png,"GRAINS, STARCHES, OR FLOURS"
A050,"Cake, angel food",,33.9,262.0,7.2,0.3,57.7,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize27.jpg,"GRAINS, STARCHES, OR FLOURS"
A051,"Cake, banana",,32.6,331.0,5.4,13.4,47.2,1.4,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A051_cake,_banana1.png","GRAINS, STARCHES, OR FLOURS"
A052,"Cake, butter",,24.8,399.0,2.8,20.4,51.0,1.0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0521.png,"GRAINS, STARCHES, OR FLOURS"
A053,"Cake, cheese cupcake",,16.2,410.0,5.6,16.4,60.0,1.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0531.png,"GRAINS, STARCHES, OR FLOURS"
A054,"Cake, chiffon",,29.8,332.0,7.2,11.6,49.8,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize28.jpg,"GRAINS, STARCHES, OR FLOURS"
A055,"Cake, chocolate",,21.2,373.0,5.6,12.6,59.3,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0551.png,"GRAINS, STARCHES, OR FLOURS"
A056,"Cake, cream-filled roll",,27.9,366.0,9.2,16.3,45.6,1.0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0561.png,"GRAINS, STARCHES, OR FLOURS"
A057,"Cake, fruit",,26.0,365.0,5.0,14.6,53.4,1.0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0571.png,"GRAINS, STARCHES, OR FLOURS"
A058,"Cake, jelly roll",Pianono,21.6,326.0,5.3,2.8,69.9,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A058.png,"GRAINS, STARCHES, OR FLOURS"
A059,"Cake, kababayan",,20.6,361.0,6.3,9.9,61.6,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A059_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A060,"Cake, mamon",,20.6,368.0,5.4,10.7,62.6,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A060_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A061,"Cake, mamon, toasted",,3.5,416.0,10.4,6.7,78.5,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A061-mamon-tostado1.png,"GRAINS, STARCHES, OR FLOURS"
A062,"Cake, marshmallow roll",,21.4,338.0,6.5,5.1,66.4,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize29.jpg,"GRAINS, STARCHES, OR FLOURS"
A063,"Cake, mocha roll",,22.0,353.0,6.7,9.0,61.2,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A063_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A064,"Cake, pineapple roll",,39.1,255.0,3.5,2.5,54.5,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize210.jpg,"GRAINS, STARCHES, OR FLOURS"
A065,"Cake, sponge",,29.0,306.0,8.2,5.3,56.3,1.2,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A065_cake,_sponge1.png","GRAINS, STARCHES, OR FLOURS"
A066,"Chips, cheese flvr",,4.4,489.0,7.2,24.1,60.7,3.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A066.png,"GRAINS, STARCHES, OR FLOURS"
A067,"Chips, corn, bbq flvr",,1.8,535.0,6.5,30.7,58.1,2.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A067_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A068,"Chips, corn, nacho cheese flvr",,2.9,528.0,7.5,30.0,57.1,2.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0681.png,"GRAINS, STARCHES, OR FLOURS"
A069,"Chips, corn, natural flvr",,1.1,527.0,5.9,29.1,60.3,3.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0691.png,"GRAINS, STARCHES, OR FLOURS"
A070,"Chips, corn-potato based, cheese flvr",,2.9,540.0,3.1,33.4,56.8,3.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A070_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A071,"Chips, corn, taco & bbq flvr",,1.9,527.0,4.2,29.0,62.4,2.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A071_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A072,"Chips, corn, taco flvr",,1.8,515.0,6.8,27.4,60.2,3.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0721.png,"GRAINS, STARCHES, OR FLOURS"
A073,"Chips, fish crackers",,3.2,456.0,5.0,16.6,71.7,3.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A073-fish-cracker1.png,"GRAINS, STARCHES, OR FLOURS"
A074,"Chips, fish kroepeck",,5.3,502.0,4.0,27.0,60.8,2.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0741.png,"GRAINS, STARCHES, OR FLOURS"
A075,"Chips, prawn crackers",,3.0,442.0,6.8,13.1,74.2,2.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A075_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A076,"Chips, prawn crackers, flvrd",,3.2,543.0,3.9,33.0,57.7,2.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize211.jpg,"GRAINS, STARCHES, OR FLOURS"
A077,"Chips, shrimp crackers",,4.5,462.0,6.0,18.4,68.1,3.0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A077_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A078,"Chips, shrimp kroepeck",,3.5,493.0,7.3,24.4,61.1,3.7,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A078_chips,_shrimp_kroepeck1.png","GRAINS, STARCHES, OR FLOURS"
A079,"Chips, squid crackers",,3.4,434.0,7.4,12.4,73.1,3.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize212.jpg,"GRAINS, STARCHES, OR FLOURS"
A080,"Chips, sticks, onion flvr",,2.6,514.0,5.4,27.2,62.0,2.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize213.jpg,"GRAINS, STARCHES, OR FLOURS"
A081,"Chips, tortilla, bbq flvr",,2.0,489.0,7.2,23.3,62.7,4.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A081.png,"GRAINS, STARCHES, OR FLOURS"
A082,"Chips, tortilla, nacho cheese flvr",,2.2,496.0,7.4,23.2,64.4,2.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A082_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A083,"Cookies, apas",,3.3,388.0,5.4,0.5,90.4,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A083-apas1.png,"GRAINS, STARCHES, OR FLOURS"
A084,"Cookies, arrowroot",Uraro/Araro cookies,5.8,417.0,1.1,8.5,83.9,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A084-uraro1.png,"GRAINS, STARCHES, OR FLOURS"
A085,"Cookies, assorted",,2.5,442.0,6.2,11.3,78.9,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0851.png,"GRAINS, STARCHES, OR FLOURS"
A086,"Cookies, brownies",,14.7,417.0,7.4,16.8,59.1,2.0,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A086_cookies,_brownies1.png","GRAINS, STARCHES, OR FLOURS"
A087,"Cookies, butter",,1.6,508.0,8.3,24.1,64.5,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0871.png,"GRAINS, STARCHES, OR FLOURS"
A088,"Cookies, camachili",,3.3,443.0,7.8,12.2,75.6,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A088_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A089,"Cookies, gem",Iced gem cookies,4.6,426.0,11.0,9.7,73.6,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A089-iced-gems1.png,"GRAINS, STARCHES, OR FLOURS"
A090,"Cookies, jacobina special",,2.9,449.0,7.0,13.3,75.4,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A090-jacobina1.png,"GRAINS, STARCHES, OR FLOURS"
A091,"Cookies, lady finger",Brohas,10.5,388.0,8.6,6.5,73.7,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A091-broas1.png,"GRAINS, STARCHES, OR FLOURS"
A092,"Cookies, marie",,4.4,421.0,8.1,8.9,77.1,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A092_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A093,"Cookies, ogoy-ogoy",,3.4,441.0,8.3,11.8,75.3,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A093_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A094,"Cookies, otap",,1.5,462.0,10.1,14.3,73.3,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A094-otap1.png,"GRAINS, STARCHES, OR FLOURS"
A095,"Cookies, pasencia",Pacencia/Paciencia,4.4,397.0,6.9,3.3,84.9,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A095-pasencia1.png,"GRAINS, STARCHES, OR FLOURS"
A096,"Cookies, pili nut",,1.5,532.0,6.6,28.3,62.6,1.0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A096.png,"GRAINS, STARCHES, OR FLOURS"
A097,"Cookies, pilipit",,3.4,470.0,6.7,17.0,72.6,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A097-pilipit1.png,"GRAINS, STARCHES, OR FLOURS"
A098,"Cookies, polvoron",,4.1,478.0,5.2,19.2,71.0,0.5,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A098_cookies,_polvoron1.png","GRAINS, STARCHES, OR FLOURS"
A099,"Cookies, sandwich type, choc-filled","Biskwit, may palaman na tsokolate",1.0,515.0,5.7,24.9,67.1,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A099_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A100,"Cookies, sandwich type, cream-filled",,3.0,472.0,5.9,18.0,71.7,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A100_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A101,"Cookies, vanilla wafer, choc-coated",,1.5,510.0,5.4,24.2,67.7,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A101_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A102,"Cookies, wafer",,2.1,505.0,4.6,22.9,70.0,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A102_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A103,"Corn flakes, enr",,2.0,387.0,8.2,0.6,87.2,2.0,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A103_corn_flakes,_enr1.png","GRAINS, STARCHES, OR FLOURS"
A104,Corn pudding,Maja blanca,64.0,149.0,1.3,1.1,33.4,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A104_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A105,"Corn pudding, w/ grtd coconut topping","Maja blanca, may niyog",54.8,187.0,1.0,1.4,42.6,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1051.png,"GRAINS, STARCHES, OR FLOURS"
A106,"Corn pudding, maja, yellow","Maja, mais",69.8,127.0,1.1,1.3,27.6,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A106_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A107,"Corn pudding, maja, yellow w/ grtd coconut topping","Maja, mais, may niyog",63.8,151.0,1.8,1.3,32.9,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A107_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A108,"Corn, fried, seasoned",Kornik,2.5,483.0,8.5,21.8,63.2,4.0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A108-kornik1.png,"GRAINS, STARCHES, OR FLOURS"
A109,"Corn, whole kernel, cnd","Mais butil, de lata",82.3,70.0,1.3,0.4,15.4,0.6,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A109_corn,_whole_kernel,_cnd1.png","GRAINS, STARCHES, OR FLOURS"
A110,Cornstarch,,7.8,370.0,0.3,0.3,91.5,0.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1101.png,"GRAINS, STARCHES, OR FLOURS"
A111,"Cracker, egg",Galyetas de patatas,3.8,422.0,15.0,8.1,72.3,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A111-galyetas1.png,"GRAINS, STARCHES, OR FLOURS"
A112,"Cracker, graham, honey-flvr",,2.7,423.0,8.0,8.1,79.5,1.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A112-graham1.png,"GRAINS, STARCHES, OR FLOURS"
A113,"Cracker, plain",,2.7,482.0,7.5,19.7,68.7,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1131.png,"GRAINS, STARCHES, OR FLOURS"
A114,"Cracker, salted",,3.0,480.0,9.6,19.9,65.5,2.0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/a114_crackersalted_500x3331.jpg,"GRAINS, STARCHES, OR FLOURS"
A115,"Cracker, salted, round",,2.9,505.0,7.2,24.7,63.4,1.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A115-round-crackers1.png,"GRAINS, STARCHES, OR FLOURS"
A116,Cream puff,,35.6,293.0,5.4,7.5,50.9,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1161.png,"GRAINS, STARCHES, OR FLOURS"
A117,"Curls, bbq flvr",,2.6,455.0,7.8,15.5,71.1,3.0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize214.jpg,"GRAINS, STARCHES, OR FLOURS"
A119,"Curls, cheese flvr",,4.3,447.0,7.6,15.4,69.5,3.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize215.jpg,"GRAINS, STARCHES, OR FLOURS"
A121,"Curls, prawn flvr",,0.8,483.0,7.2,20.2,68.0,3.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize216.jpg,"GRAINS, STARCHES, OR FLOURS"
A122,"Curls, shrimp flvr",,3.2,419.0,6.6,9.0,77.9,3.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1221.png,"GRAINS, STARCHES, OR FLOURS"
A124,"Doughnut, fried, w/ sugar","Donut, prito, may asukal",19.2,431.0,7.5,22.7,49.2,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A124.png,"GRAINS, STARCHES, OR FLOURS"
A125,Gurgurya,,4.1,515.0,6.7,26.5,62.4,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A125.png,"GRAINS, STARCHES, OR FLOURS"
A126,Hominy,Binatog,69.8,126.0,3.0,1.4,25.4,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A126_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A127,Hopyang baboy,,12.5,414.0,5.0,13.1,69.1,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A127_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A128,Hopyang Hapon,,17.4,352.0,8.7,5.7,66.4,1.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A128_hopyang_hapon1.png,"GRAINS, STARCHES, OR FLOURS"
A129,Hopyang munggo,,18.5,383.0,6.5,12.0,62.3,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1291.png,"GRAINS, STARCHES, OR FLOURS"
A130,Karyoka,Carioca,25.1,359.0,4.2,12.1,58.2,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A130_copy1.png,"GRAINS, STARCHES, OR FLOURS"
A131,"Lohuwa, peanut",,5.7,500.0,16.9,25.6,50.6,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A131-peanut-lohuwa1.png,"GRAINS, STARCHES, OR FLOURS"
A132,"Lohuwa, rice",,6.6,415.0,3.4,8.4,81.4,0.2,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A132_lohuwa,_rice1.png","GRAINS, STARCHES, OR FLOURS"
A133,"Lohuwa, sesame seed",,4.3,473.0,10.7,19.1,64.5,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A133.png,"GRAINS, STARCHES, OR FLOURS"
A134,"Noodles, mung bean starch",Sotanghon,14.0,345.0,0.2,0.2,85.5,0.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1341.png,"GRAINS, STARCHES, OR FLOURS"
A135,"Noodles, mung bean starch, boiled","Sotanghon, nilaga",80.6,78.0,0.0,0.1,19.3,0.0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1351.png,"GRAINS, STARCHES, OR FLOURS"
A136,"Noodles, rice, fideos",Fideos,10.5,357.0,9.6,0.4,78.7,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize217.jpg,"GRAINS, STARCHES, OR FLOURS"
A137,"Noodles, rice",Bihon,12.1,353.0,2.7,0.5,84.5,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1371.png,"GRAINS, STARCHES, OR FLOURS"
