Food_ID,Food name and Description,Alternate/Common name(s),Water (g),"Energy, calculated (kcal)",Protein (g),Total Fat (g),"Carbohydrate, total (g)","Ash, total (g)",Image Link
A036,"Bread, mung bean loaf",Munggo bread,20.9,352,13.5,8.3,55.8,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0361.png
A037,"Bread, pan de bonete",N/A,22.1,329,12.3,4.4,60,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize25.jpg
A038,"Bread, pan de coco",N/A,21.6,349,9.2,7.6,60.9,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0381.png
A039,"Bread, pan de leche",N/A,21.9,323,10.5,3,63.5,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A039.png
A040,"Bread, pan de limon",N/A,23.8,321,10.6,3.9,60.9,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A040.png
A041,"Bread, pan de monay",N/A,23.4,318,10.6,3.4,61.3,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0411.png
A042,"Bread, pan de sal",N/A,21.6,330,10.1,4.2,62.9,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0421.png
A043,"Bread, raisin",N/A,30.3,295,9.4,4.6,53.9,1.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0431.png
A044,"Bread, rye",N/A,25.6,304,12.1,3.5,56,2.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A044.png
A045,"Bread, sweet roll",Ensaymada,24.3,326,8.6,5,61.6,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A045.png
A046,"Bread, sweet roll w/ mung bean filling","Ensaymada, may munggo",24.9,307,9.6,2.1,62.5,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A046.png
A047,"Bread, toasted","Toast/Tinapay, tostado",17.9,349,11.2,5.3,64.2,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/a047.jpg
A048,"Bread, white, loaf",American loaf/Pan Amerikano,23.2,329,9.7,5.1,61.1,0.9,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A048_bread,_white,_loaf1.png"
A049,Bunuelos,N/A,18.9,497,9.5,34.8,36.4,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A049.png
A050,"Cake, angel food",N/A,33.9,262,7.2,0.3,57.7,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize27.jpg
A051,"Cake, banana",N/A,32.6,331,5.4,13.4,47.2,1.4,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A051_cake,_banana1.png"
A052,"Cake, butter",N/A,24.8,399,2.8,20.4,51,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0521.png
A053,"Cake, cheese cupcake",N/A,16.2,410,5.6,16.4,60,1.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0531.png
A054,"Cake, chiffon",N/A,29.8,332,7.2,11.6,49.8,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize28.jpg
A055,"Cake, chocolate",N/A,21.2,373,5.6,12.6,59.3,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0551.png
A056,"Cake, cream-filled roll",N/A,27.9,366,9.2,16.3,45.6,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0561.png
A057,"Cake, fruit",N/A,26,365,5,14.6,53.4,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0571.png
A058,"Cake, jelly roll",Pianono,21.6,326,5.3,2.8,69.9,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A058.png
A059,"Cake, kababayan",N/A,20.6,361,6.3,9.9,61.6,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A059_copy1.png
A060,"Cake, mamon",N/A,20.6,368,5.4,10.7,62.6,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A060_copy1.png
A061,"Cake, mamon, toasted",N/A,3.5,416,10.4,6.7,78.5,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A061-mamon-tostado1.png
A062,"Cake, marshmallow roll",N/A,21.4,338,6.5,5.1,66.4,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize29.jpg
A063,"Cake, mocha roll",N/A,22,353,6.7,9,61.2,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A063_copy1.png
A064,"Cake, pineapple roll",N/A,39.1,255,3.5,2.5,54.5,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize210.jpg
A065,"Cake, sponge",N/A,29,306,8.2,5.3,56.3,1.2,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A065_cake,_sponge1.png"
A066,"Chips, cheese flvr",N/A,4.4,489,7.2,24.1,60.7,3.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A066.png
A067,"Chips, corn, bbq flvr",N/A,1.8,535,6.5,30.7,58.1,2.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A067_copy1.png
A068,"Chips, corn, nacho cheese flvr",N/A,2.9,528,7.5,30,57.1,2.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0681.png
A069,"Chips, corn, natural flvr",N/A,1.1,527,5.9,29.1,60.3,3.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0691.png
A070,"Chips, corn-potato based, cheese flvr",N/A,2.9,540,3.1,33.4,56.8,3.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A070_copy1.png
A071,"Chips, corn, taco & bbq flvr",N/A,1.9,527,4.2,29,62.4,2.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A071_copy1.png
A072,"Chips, corn, taco flvr",N/A,1.8,515,6.8,27.4,60.2,3.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0721.png
A073,"Chips, fish crackers",N/A,3.2,456,5,16.6,71.7,3.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A073-fish-cracker1.png
A074,"Chips, fish kroepeck",N/A,5.3,502,4,27,60.8,2.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0741.png
A075,"Chips, prawn crackers",N/A,3,442,6.8,13.1,74.2,2.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A075_copy1.png
A076,"Chips, prawn crackers, flvrd",N/A,3.2,543,3.9,33,57.7,2.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize211.jpg
A077,"Chips, shrimp crackers",N/A,4.5,462,6,18.4,68.1,3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A077_copy1.png
A078,"Chips, shrimp kroepeck",N/A,3.5,493,7.3,24.4,61.1,3.7,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A078_chips,_shrimp_kroepeck1.png"
A079,"Chips, squid crackers",N/A,3.4,434,7.4,12.4,73.1,3.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize212.jpg
A080,"Chips, sticks, onion flvr",N/A,2.6,514,5.4,27.2,62,2.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize213.jpg
A081,"Chips, tortilla, bbq flvr",N/A,2,489,7.2,23.3,62.7,4.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A081.png
A082,"Chips, tortilla, nacho cheese flvr",N/A,2.2,496,7.4,23.2,64.4,2.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A082_copy1.png
A083,"Cookies, apas",N/A,3.3,388,5.4,0.5,90.4,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A083-apas1.png
A084,"Cookies, arrowroot",Uraro/Araro cookies,5.8,417,1.1,8.5,83.9,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A084-uraro1.png
A085,"Cookies, assorted",N/A,2.5,442,6.2,11.3,78.9,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0851.png
A086,"Cookies, brownies",N/A,14.7,417,7.4,16.8,59.1,2,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A086_cookies,_brownies1.png"
A087,"Cookies, butter",N/A,1.6,508,8.3,24.1,64.5,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A0871.png
A088,"Cookies, camachili",N/A,3.3,443,7.8,12.2,75.6,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A088_copy1.png
A089,"Cookies, gem",Iced gem cookies,4.6,426,11,9.7,73.6,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A089-iced-gems1.png
A090,"Cookies, jacobina special",N/A,2.9,449,7,13.3,75.4,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A090-jacobina1.png
A091,"Cookies, lady finger",Brohas,10.5,388,8.6,6.5,73.7,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A091-broas1.png
A092,"Cookies, marie",N/A,4.4,421,8.1,8.9,77.1,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A092_copy1.png
A093,"Cookies, ogoy-ogoy",N/A,3.4,441,8.3,11.8,75.3,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A093_copy1.png
A094,"Cookies, otap",N/A,1.5,462,10.1,14.3,73.3,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A094-otap1.png
A095,"Cookies, pasencia",Pacencia/Paciencia,4.4,397,6.9,3.3,84.9,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A095-pasencia1.png
A096,"Cookies, pili nut",N/A,1.5,532,6.6,28.3,62.6,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A096.png
A097,"Cookies, pilipit",N/A,3.4,470,6.7,17,72.6,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A097-pilipit1.png
A098,"Cookies, polvoron",N/A,4.1,478,5.2,19.2,71,0.5,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A098_cookies,_polvoron1.png"
A099,"Cookies, sandwich type, choc-filled","Biskwit, may palaman na tsokolate",1,515,5.7,24.9,67.1,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A099_copy1.png
A100,"Cookies, sandwich type, cream-filled",N/A,3,472,5.9,18,71.7,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A100_copy1.png
A101,"Cookies, vanilla wafer, choc-coated",N/A,1.5,510,5.4,24.2,67.7,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A101_copy1.png
A102,"Cookies, wafer",N/A,2.1,505,4.6,22.9,70,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A102_copy1.png
A103,"Corn flakes, enr",N/A,2,387,8.2,0.6,87.2,2,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A103_corn_flakes,_enr1.png"
A104,Corn pudding,Maja blanca,64,149,1.3,1.1,33.4,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A104_copy1.png
A105,"Corn pudding, w/ grtd coconut topping","Maja blanca, may niyog",54.8,187,1,1.4,42.6,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1051.png
A106,"Corn pudding, maja, yellow","Maja, mais",69.8,127,1.1,1.3,27.6,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A106_copy1.png
A107,"Corn pudding, maja, yellow w/ grtd coconut topping","Maja, mais, may niyog",63.8,151,1.8,1.3,32.9,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A107_copy1.png
A108,"Corn, fried, seasoned",Kornik,2.5,483,8.5,21.8,63.2,4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A108-kornik1.png
A109,"Corn, whole kernel, cnd","Mais butil, de lata",82.3,70,1.3,0.4,15.4,0.6,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A109_corn,_whole_kernel,_cnd1.png"
A110,Cornstarch,N/A,7.8,370,0.3,0.3,91.5,0.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1101.png
A111,"Cracker, egg",Galyetas de patatas,3.8,422,15,8.1,72.3,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A111-galyetas1.png
A112,"Cracker, graham, honey-flvr",N/A,2.7,423,8,8.1,79.5,1.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A112-graham1.png
A113,"Cracker, plain",N/A,2.7,482,7.5,19.7,68.7,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1131.png
A114,"Cracker, salted",N/A,3,480,9.6,19.9,65.5,2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/a114_crackersalted_500x3331.jpg
A115,"Cracker, salted, round",N/A,2.9,505,7.2,24.7,63.4,1.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A115-round-crackers1.png
A116,Cream puff,N/A,35.6,293,5.4,7.5,50.9,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1161.png
A117,"Curls, bbq flvr",N/A,2.6,455,7.8,15.5,71.1,3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize214.jpg
A119,"Curls, cheese flvr",N/A,4.3,447,7.6,15.4,69.5,3.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize215.jpg
A121,"Curls, prawn flvr",N/A,0.8,483,7.2,20.2,68,3.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize216.jpg
A122,"Curls, shrimp flvr",N/A,3.2,419,6.6,9,77.9,3.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1221.png
A124,"Doughnut, fried, w/ sugar","Donut, prito, may asukal",19.2,431,7.5,22.7,49.2,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A124.png
A125,Gurgurya,N/A,4.1,515,6.7,26.5,62.4,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A125.png
A126,Hominy,Binatog,69.8,126,3,1.4,25.4,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A126_copy1.png
A127,Hopyang baboy,N/A,12.5,414,5,13.1,69.1,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A127_copy1.png
A128,Hopyang Hapon,N/A,17.4,352,8.7,5.7,66.4,1.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A128_hopyang_hapon1.png
A129,Hopyang munggo,N/A,18.5,383,6.5,12,62.3,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1291.png
A130,Karyoka,Carioca,25.1,359,4.2,12.1,58.2,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A130_copy1.png
A131,"Lohuwa, peanut",N/A,5.7,500,16.9,25.6,50.6,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A131-peanut-lohuwa1.png
A132,"Lohuwa, rice",N/A,6.6,415,3.4,8.4,81.4,0.2,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A132_lohuwa,_rice1.png"
A133,"Lohuwa, sesame seed",N/A,4.3,473,10.7,19.1,64.5,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A133.png
A134,"Noodles, mung bean starch",Sotanghon,14,345,0.2,0.2,85.5,0.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1341.png
A135,"Noodles, mung bean starch, boiled","Sotanghon, nilaga",80.6,78,0,0.1,19.3,0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1351.png
A136,"Noodles, rice, fideos",Fideos,10.5,357,9.6,0.4,78.7,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize217.jpg
A137,"Noodles, rice",Bihon,12.1,353,2.7,0.5,84.5,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1371.png
A138,"Noodles, rice, boiled","Bihon, nilaga",72,115,0.5,0.6,26.9,0,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1381.png
A140,"Noodles, wheat, canton, dry",Canton,4.8,487,12.8,23.2,56.8,2.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A140.png
A141,"Noodles, wheat, mami, fresh","Mami, sariwa",78.9,73,6.8,0.2,10.9,3.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1411.png
A142,"Noodles, wheat, inst, w/ flvr","Mami, inst, may pampalasa",5.2,433,10.4,18.1,57.1,9.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A142.png
A143,"Noodles, wheat, inst, w/ flvr, fortified","Mami, inst, may pampalasa,fortified",4.1,465,9.2,22.3,56.8,7.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A143.png
A144,"Noodles, wheat, thin",Misua/Miswa,11,344,12.2,0.3,73,3.5,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A144_noodles,_wheat,_thin1.png"
A145,"Noodles, wheat, thin, boiled","Misua/Miswa, nilaga",75,100,0.9,0.1,23.8,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1451.png
A146,"Noodles, wheat, miki, dry","Miki, tuyo",8.4,472,12.4,22.4,55.3,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1461.png
A147,"Noodles, wheat, miki, dry, boiled","Miki, tuyo, nilaga",76,110,1.7,2.9,19.2,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1471.png
A148,"Oatmeal, instant",N/A,4.4,394,10,4.7,77.9,3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1481.png
A149,"Oats, quick-cooking",N/A,4.2,423,11.4,9.1,73.8,1.5,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A149_oats,_quick-cooking1.png"
A150,"Oats, quick-cooking, ckd",N/A,86.1,60,1.6,1.1,11,0.2,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A150_oats,_quick-cooking,_ckd1.png"
A151,Pancake,Hotcake,40.6,269,8.4,7.6,41.8,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1511.png
A152,"Pasta, macaroni",N/A,11.4,353,14.3,0.2,73.5,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1521.png
A153,"Pasta, spaghetti",N/A,10.5,361,12.4,1.1,75.4,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A153.jpg
A154,"Pasta, spaghetti, boiled",N/A,61,156,5.5,0.1,33.3,0.1,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A154_pasta,_spaghetti,_boiled1.png"
A155,"Popcorn and peanuts, sweetn",N/A,3.1,447,5.1,12.8,77.8,1.2,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A155-popcorn-and-peanuts,-sweetened1.png"
A156,"Popcorn, salted",N/A,3.8,471,6.7,18.6,69.2,1.7,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A156_popcorn,_salted1.png"
A157,"Popcorn, sweetn",N/A,2.3,443,4,11,81.9,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A157-popcorn-sweetened1.png
A158,"Pretzel, choc-coated",N/A,2.3,475,8.1,18.6,68.8,2.2,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A158_pretzel,choc-coated1.png"
A159,"Pretzel, sweetn",N/A,1,442,8.5,11.1,76.9,2.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1591.png
A160,"Pudding, pineapple",N/A,32.5,268,4.7,1.7,58.5,2.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize218.jpg
A161,"Pudding, raisin",N/A,47,221,8.1,2.9,40.5,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize219.jpg
A162,"Pudding, vanilla",N/A,29.4,286,6.2,1.5,61.8,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize220.jpg
A163,"Puffs, bbq flvr",N/A,4.9,445,7.5,14.6,70.9,2.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize221.jpg
A164,"Puffs, cheese flvr",N/A,4.1,503,6,26.5,60,3.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A164_copy1.png
A165,"Puffs, chicken flvr",N/A,2.3,449,6.8,13.4,75.2,2.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize222.jpg
A166,"Puffs, spiced",N/A,3.2,418,7.4,8.9,77,3.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize223.jpg
A167,"Rice cake (glutinous), bibingka","Bibingka, malagkit",36.8,256,2.8,1,59,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1671.png
A168,"Rice cake (glutinous), biko",Biko/Sinukmani,37.9,252,2.2,0.9,58.7,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1681.png
A169,"Rice cake (glutinous), biko, w/ grtd coconut topping","Biko/Sinukmani, may niyog",40,246,3.3,1.6,54.7,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1691.png
A170,"Rice cake (glutinous), biko, w/ purple rice","Biko, may pirurutong",43.6,227,2.6,0.4,53.2,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A170_copy1.png
A171,"Rice cake (glutinous), Chinese, tikoy",Tikoy,37.7,250,2.5,0.3,59.4,0.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1711.png
A172,"Rice cake (glutinous), Chinese, tikoy, w/ peanut","Tikoy, may mani",40.1,247,6.4,1.8,51.4,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1721.png
A173,"Rice cake, bibingka",Bibingkang galapong,41.5,234,3.6,0.9,52.9,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize2254.jpg
